GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
command-worker,br.com.jhonatansouza,CommandResult,41,0,0,0,5,0,6,0,6,0
command-worker,br.com.jhonatansouza,WithJoHandler,33,0,0,0,6,0,3,0,3,0
command-worker,br.com.jhonatansouza,CommandWorkerQueue,97,19,12,2,6,4,8,2,1,2
command-worker,br.com.jhonatansouza,JobResponse,12,0,0,0,2,0,2,0,2,0
command-worker,br.com.jhonatansouza,CommandException,7,0,0,0,1,0,1,0,1,0
command-worker,br.com.jhonatansouza,ParamsJobHandler,54,0,0,0,8,0,2,0,2,0
command-worker,br.com.jhonatansouza,JobHandler,211,34,10,0,27,7,11,2,6,2
command-worker,br.com.jhonatansouza.exceptions,IndexNotFoundException,13,0,0,0,1,0,2,0,2,0
command-worker,br.com.jhonatansouza.enums,JobPosition,35,0,0,0,4,0,3,0,3,0
command-worker,br.com.jhonatansouza.result,Printer,0,8,0,0,0,2,0,2,0,2
command-worker,br.com.jhonatansouza.result,ThrowableResult,28,0,0,0,1,0,4,0,4,0
command-worker,br.com.jhonatansouza.result,UnsuccessfulResult,18,0,0,0,1,0,3,0,3,0
command-worker,br.com.jhonatansouza.result,SuccessfulResult,28,0,0,0,1,0,4,0,4,0
